Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,A1 - ,A2 - ,A3 - ,A4 - ,,Filename,Project,UserID,Protocol,Session,Station,Run,Subject,Trial,Time Start,Time Finish,Duration,Enter State,A1,A2,A3
M,LF-LD,5,47,0,2,LF152_,1298,5,4,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,1637,1642,5,4,0,0,0
M,LF-LD,5,47,0,2,LF152_,1303,4,8,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,1642,1674,32,8,0,1,0
M,LF-LD,5,47,0,2,LF152_,1336,8,0,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,1674,1681,7,3,0,0,0
M,LF-LD,5,47,0,2,LF152_,1344,8,3,2,0,1,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,1681,1684,3,5,0,0,1
M,LF-LD,5,47,0,2,LF152_,1349,3,0,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,1684,1689,5,4,0,0,0
M,LF-LD,5,47,0,2,LF152_,1351,3,5,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,1689,1715,26,8,0,1,0
M,LF-LD,5,47,0,2,LF152_,1354,5,4,0,0,0,1,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,1715,1722,7,3,0,0,0
M,LF-LD,5,47,0,2,LF152_,1359,4,8,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,1722,1725,3,5,0,0,1
M,LF-LD,5,47,0,2,LF152_,1386,8,0,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,1725,1730,5,4,0,0,0
M,LF-LD,5,47,0,2,LF152_,1392,8,2,3,0,0,1,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,1730,1753,23,8,0,1,0
M,LF-LD,5,47,0,2,LF152_,1396,2,0,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,1753,1760,7,3,0,0,0
M,LF-LD,5,47,0,2,LF152_,1408,2,3,2,0,1,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,1760,1763,3,5,0,0,1
M,LF-LD,5,47,0,2,LF152_,1413,3,0,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,1763,1768,5,4,0,0,0
M,LF-LD,5,47,0,2,LF152_,1415,3,5,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,1768,1798,30,8,0,1,0
M,LF-LD,5,47,0,2,LF152_,1417,5,0,0,0,0,1,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,1798,1805,7,3,0,0,0
M,LF-LD,5,47,0,2,LF152_,1418,5,4,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,1805,1808,3,5,0,0,1
M,LF-LD,5,47,0,2,LF152_,1423,4,8,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,1808,1813,5,4,0,0,0
M,LF-LD,5,47,0,2,LF152_,1441,8,0,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,1813,1839,26,8,0,1,0
M,LF-LD,5,47,0,2,LF152_,1483,8,2,3,0,0,1,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,1839,1846,7,3,0,0,0
M,LF-LD,5,47,0,2,LF152_,1487,2,0,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,1846,1849,3,5,0,0,1
M,LF-LD,5,47,0,2,LF152_,1492,2,3,2,0,1,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,1849,1854,5,4,0,0,0
M,LF-LD,5,47,0,2,LF152_,1495,3,0,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,1854,1884,30,8,0,1,0
M,LF-LD,5,47,0,2,LF152_,1499,3,5,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,1884,1891,7,3,0,0,1
M,LF-LD,5,47,0,2,LF152_,1502,5,4,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,1891,1894,3,5,0,0,0
M,LF-LD,5,47,0,2,LF152_,1507,4,8,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,1894,1899,5,4,0,0,0
M,LF-LD,5,47,0,2,LF152_,1508,8,2,3,0,0,1,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,1899,1935,36,8,0,2,0
M,LF-LD,5,47,0,2,LF152_,1534,2,0,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,1935,1942,7,3,0,0,0
M,LF-LD,5,47,0,2,LF152_,1539,2,3,2,0,1,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,1942,1945,3,5,0,0,1
M,LF-LD,5,47,0,2,LF152_,1544,3,0,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,1945,1950,5,4,0,0,0
M,LF-LD,5,47,0,2,LF152_,1546,3,5,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,1950,1990,40,8,0,1,0
M,LF-LD,5,47,0,2,LF152_,1548,5,0,0,0,0,1,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,1990,1997,7,3,0,0,1
M,LF-LD,5,47,0,2,LF152_,1549,5,4,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,1997,2000,3,5,0,0,0
M,LF-LD,5,47,0,2,LF152_,1554,4,8,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,2000,2005,5,4,0,0,0
