Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,A1 - ,A2 - ,A3 - ,A4 - ,,,Filename,Project,UserID,Protocol,Session,Station,Run,Subject,Trial,Time Start,Time Finish,Duration,Enter State,A1,A2,A3,
M,LF,5,43,2,1,LF152_,1233,5,4,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,4,2202,2412,210,2,0,1,0,
M,LF,5,43,2,1,LF152_,1238,4,8,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,4,2412,2419,7,3,0,0,0,
M,LF,5,43,2,1,LF152_,1359,8,0,0,1,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,4,2419,2422,3,5,0,0,1,
M,LF,5,43,2,1,LF152_,1557,8,2,3,0,0,1,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,4,2422,2427,5,4,0,0,0,
M,LF,5,43,2,1,LF152_,1566,2,0,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,4,2427,2474,47,8,0,1,0,
M,LF,5,43,2,1,LF152_,1569,2,0,0,0,0,1,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,4,2474,2481,7,3,0,0,0,
M,LF,5,43,2,1,LF152_,1730,2,0,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,4,2481,2484,3,5,0,0,1,
M,LF,5,43,2,1,LF152_,1752,2,0,0,0,0,1,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,4,2484,2489,5,4,0,0,0,
M,LF,5,43,2,1,LF152_,1754,2,0,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,4,2489,2513,24,8,0,1,0,
M,LF,5,43,2,1,LF152_,1770,2,0,0,0,0,1,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,4,2513,2520,7,3,0,0,0,
M,LF,5,43,2,1,LF152_,1771,2,0,0,0,0,1,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,4,2520,2523,3,5,0,0,1,
M,LF,5,43,2,1,LF152_,1772,2,3,2,0,1,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,4,2523,2528,5,4,0,0,0,
M,LF,5,43,2,1,LF152_,1773,3,0,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,4,2528,2562,34,8,0,1,0,
M,LF,5,43,2,1,LF152_,1779,3,5,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,4,2562,2569,7,3,0,0,0,
M,LF,5,43,2,1,LF152_,1782,5,4,0,0,1,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,4,2569,2572,3,5,0,0,1,
M,LF,5,43,2,1,LF152_,1786,4,0,0,0,0,1,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,4,2572,2577,5,4,0,0,0,
M,LF,5,43,2,1,LF152_,1787,4,8,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,4,2577,2606,29,8,0,1,0,
M,LF,5,43,2,1,LF152_,1806,8,0,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,4,2606,2613,7,3,0,0,0,
M,LF,5,43,2,1,LF152_,1818,8,3,2,0,1,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,4,2613,2616,3,5,0,0,1,
M,LF,5,43,2,1,LF152_,1824,3,0,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,4,2616,2621,5,4,0,0,0,
M,LF,5,43,2,1,LF152_,1825,3,5,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,4,2621,2655,34,8,0,2,0,
M,LF,5,43,2,1,LF152_,1828,5,4,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,4,2655,2662,7,3,0,0,0,
M,LF,5,43,2,1,LF152_,1829,4,0,0,0,0,1,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,4,2662,2665,3,5,0,0,1,
M,LF,5,43,2,1,LF152_,1833,4,8,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,4,2665,2670,5,4,0,0,0,
