Filename,Project,UserID,Protocol,Session,Station,Run,Subject,Trial,Time Start,Time Finish,Duration,Enter State,A1,A2,A3,,Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,A1 - ,A2 - ,A3 - 
110618 retrain,M,GG,5,97,1,4,LF270_,11,3533,3540,7,3,0,0,0,,M,GG,5,97,1,4,LF270_,2961,2,0,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,11,3540,3543,3,5,0,0,0,,M,GG,5,97,1,4,LF270_,3018,2,3,2,0,1,0
110618 retrain,M,GG,5,97,1,4,LF270_,11,3543,3548,5,4,0,0,0,,M,GG,5,97,1,4,LF270_,3025,3,5,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,11,3548,3567,19,8,0,0,1,,M,GG,5,97,1,4,LF270_,3028,5,4,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,12,3567,3636,69,2,0,1,0,,M,GG,5,97,1,4,LF270_,3033,4,8,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,12,3636,3643,7,3,0,0,0,,M,GG,5,97,1,4,LF270_,3057,8,0,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,12,3643,3646,3,5,0,0,0,,M,GG,5,97,1,4,LF270_,3088,8,2,3,0,0,1
110618 retrain,M,GG,5,97,1,4,LF270_,12,3646,3651,5,4,0,0,0,,M,GG,5,97,1,4,LF270_,3109,2,0,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,12,3651,3694,43,8,0,0,1,,M,GG,5,97,1,4,LF270_,3113,2,0,0,0,0,1
110618 retrain,M,GG,5,97,1,4,LF270_,13,3694,3755,61,2,0,1,0,,M,GG,5,97,1,4,LF270_,3122,2,0,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,13,3755,3762,7,3,0,0,0,,M,GG,5,97,1,4,LF270_,3155,2,3,2,0,1,0
110618 retrain,M,GG,5,97,1,4,LF270_,13,3762,3765,3,5,0,0,0,,M,GG,5,97,1,4,LF270_,3160,3,0,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,13,3765,3770,5,4,0,0,0,,M,GG,5,97,1,4,LF270_,3162,3,5,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,13,3770,3773,3,8,0,0,1,,M,GG,5,97,1,4,LF270_,3165,5,4,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,14,3773,3847,74,2,0,1,0,,M,GG,5,97,1,4,LF270_,3169,4,0,0,0,0,1
110618 retrain,M,GG,5,97,1,4,LF270_,14,3847,3854,7,3,0,0,0,,M,GG,5,97,1,4,LF270_,3170,4,8,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,14,3854,3857,3,5,0,0,0,,M,GG,5,97,1,4,LF270_,3188,8,0,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,14,3857,3862,5,4,0,0,0,,M,GG,5,97,1,4,LF270_,3232,8,3,2,0,1,0
110618 retrain,M,GG,5,97,1,4,LF270_,14,3862,3875,13,8,0,0,2,,M,GG,5,97,1,4,LF270_,3239,3,5,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,15,3875,3960,85,2,0,1,0,,M,GG,5,97,1,4,LF270_,3242,5,4,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,15,3960,3967,7,3,0,0,0,,M,GG,5,97,1,4,LF270_,3244,4,0,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,15,3967,3970,3,5,0,0,0,,M,GG,5,97,1,4,LF270_,3246,4,0,0,0,1,0
110618 retrain,M,GG,5,97,1,4,LF270_,15,3970,3975,5,4,0,0,0,,M,GG,5,97,1,4,LF270_,3247,4,8,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,15,3975,4015,40,8,0,0,2,,M,GG,5,97,1,4,LF270_,3265,8,0,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,16,4015,4300,285,2,0,1,0,,M,GG,5,97,1,4,LF270_,3281,8,3,2,0,1,0
110618 retrain,M,GG,5,97,1,4,LF270_,16,4300,4307,7,3,0,0,0,,M,GG,5,97,1,4,LF270_,3288,3,5,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,16,4307,4310,3,5,0,1,0,,M,GG,5,97,1,4,LF270_,3291,5,4,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,16,4310,4315,5,4,0,0,0,,M,GG,5,97,1,4,LF270_,3296,4,8,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,16,4315,4327,12,8,0,0,1,,M,GG,5,97,1,4,LF270_,3313,8,2,3,0,0,1
110618 retrain,M,GG,5,97,1,4,LF270_,17,4327,4402,75,2,0,1,0,,M,GG,5,97,1,4,LF270_,3338,2,0,0,0,0,0
